TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
film  | 1977 | The Hills Have Eyes                                            | --            | --                     | --                       | --
film  | 1977 | The Last Wave                                                  | --            | --                     | --                       | --
film  | 1978 | Dawn of the Dead                                               | --            | --                     | --                       | --
film  | 1978 | Halloween                                                      | --            | John Carpenter         | --                       | --
film  | 1978 | Starcrash                                                      | --            | --                     | --                       | --
film  | 1979 | Alien                                                          | --            | --                     | --                       | --
film  | 1979 | Mad Max                                                        | --            | --                     | --                       | --
film  | 1979 | The Black Hole                                                 | --            | --                     | --                       | --
film  | 1979 | The Castle of Cagliostro                                       | --            | --                     | --                       | --
film  | 1979 | The Warriors                                                   | --            | --                     | --                       | --
film  | 1980 | Caddyshack                                                     | --            | --                     | --                       | --
film  | 1980 | The Big Brawl                                                  | --            | --                     | --                       | --
film  | 1980 | The Elephant Man                                               | --            | --                     | --                       | --
film  | 1980 | The Empire Strikes Back                                        | --            | --                     | --                       | --
film  | 1980 | The Gods Must Be Crazy                                         | --            | --                     | --                       | --
film  | 1980 | The Shining                                                    | --            | --                     | --                       | --
film  | 1981 | Mad Max 2                                                      | --            | --                     | --                       | --
film  | 1981 | My Dinner with Andre                                           | --            | --                     | comedy drama             | --
film  | 1981 | Quest for Fire                                                 | --            | --                     | --                       | --
film  | 1981 | Raiders of the Lost Ark                                        | --            | --                     | --                       | --
film  | 1981 | Scanners                                                       | --            | --                     | --                       | --
film  | 1981 | The Evil Dead                                                  | --            | --                     | --                       | --
film  | 1981 | Time Bandits                                                   | Time Bandits  | Terry Gillam           | --                       | --
film  | 1982 | Blade Runner                                                   | --            | --                     | --                       | --
film  | 1982 | Burden of Dreams                                               | --            | Werner Herzog          | documentary              | --
film  | 1982 | E.T. the Extra-Terrestrial                                     | --            | --                     | --                       | --
film  | 1982 | First Blood                                                    | --            | --                     | --                       | --
film  | 1982 | The Dark Crystal                                               | --            | --                     | --                       | --
film  | 1982 | The Thing                                                      | --            | --                     | --                       | --
film  | 1982 | White Dog                                                      | --            | --                     | --                       | --
film  | 1983 | A Christmas Story                                              | --            | --                     | --                       | --
film  | 1983 | Christine                                                      | --            | John Carpenter         | horror supernatural car  | --
film  | 1983 | Krull                                                          | --            | --                     | --                       | --
film  | 1983 | Return of the Jedi                                             | --            | --                     | --                       | --
film  | 1983 | Scarface                                                       | --            | --                     | --                       | --
film  | 1984 | Amadeus                                                        | --            | --                     | --                       | --
film  | 1984 | Ghostbusters                                                   | --            | --                     | --                       | --
film  | 1984 | Indiana Jones and the Temple of Doom                           | --            | --                     | --                       | --
film  | 1984 | Repo Man                                                       | --            | --                     | --                       | --
film  | 1984 | The Karate Kid                                                 | --            | --                     | --                       | --
film  | 1984 | The NeverEnding Story                                          | --            | --                     | --                       | --
film  | 1984 | The Terminator                                                 | --            | --                     | --                       | --
film  | 1984 | The Toxic Avenger                                              | --            | --                     | --                       | --
film  | 1984 | Trancers                                                       | --            | --                     | --                       | --
film  | 1985 | Back to the Future                                             | --            | --                     | --                       | --
film  | 1985 | Clue                                                           | --            | --                     | --                       | --
film  | 1985 | Cocoon                                                         | --            | --                     | scifi comedy drama       | --
film  | 1985 | Day of the Dead                                                | --            | --                     | --                       | --
film  | 1985 | Enemy Mine                                                     | --            | --                     | --                       | --
film  | 1985 | Mad Love                                                       | --            | --                     | --                       | --
film  | 1985 | Pale Rider                                                     | --            | --                     | --                       | --
film  | 1985 | Star Knight                                                    | --            | --                     | --                       | --
film  | 1985 | The Breakfast Club                                             | --            | --                     | --                       | --
film  | 1986 | Big Trouble in Little China                                    | --            | John Carpenter         | --                       | --
film  | 1986 | Black Moon Rising                                              | --            | Harley Colkiss         | --                       | --
film  | 1986 | Ferris Bueller's Day Off                                       | --            | --                     | --                       | --
film  | 1986 | Highlander                                                     | --            | --                     | --                       | --
film  | 1986 | Labyrinth                                                      | --            | --                     | --                       | --
film  | 1986 | Short Circuit                                                  | --            | --                     | --                       | --
film  | 1986 | The Fly                                                        | --            | --                     | --                       | --
film  | 1986 | The Karate Kid Part II                                         | --            | --                     | --                       | --
film  | 1986 | Top Gun                                                        | --            | --                     | --                       | --
film  | 1987 | Evil Dead II                                                   | --            | --                     | --                       | --
film  | 1987 | Hellraiser                                                     | --            | --                     | --                       | --
film  | 1987 | Lethal Weapon                                                  | --            | --                     | --                       | --
film  | 1987 | Predator                                                       | --            | --                     | --                       | --
film  | 1987 | Prince of Darkness                                             | --            | --                     | --                       | --
film  | 1987 | RoboCop                                                        | --            | --                     | --                       | --
film  | 1987 | Spaceballs                                                     | --            | --                     | --                       | --
film  | 1987 | The Lost Boys                                                  | --            | --                     | --                       | --
