DATE       | DESCRIPTION
2025-11-18 | Cary NC Street Detention Dropoff
2025-11-18 | Charlotte GroceryStore Detention USCitizen
2025-11-18 | Charlotte NC Alleged Abduction of Rapid Responder
2025-11-18 | Charlotte NC Gas Station Confrontation
2025-11-18 | Charlotte NC Racial Profiling Stop
2025-11-18 | Hillsboro OR Tualatin Valley Hwy Detention
2025-11-18 | ICE arrests at San Diego green card interviews include military spouses - NBC News
2025-11-18 | They basically just kidnapped me': US citizen taken by Border Patrol in Cary - USA Today
2025-11-19 | Bronx Jerome Avenue detention
2025-11-19 | Charlotte NC Roadside Operation Unverified ICE Checkpoint
2025-11-19 | Oak Park MI Tasing of Detained Woman
2025-11-19 | St Paul MN Pepper Spray Protest Use
2025-11-20 | 19-year-old college student deported despite judge's order blocking her removal : Lawyer - ABC News
2025-11-20 | Detroit teenagers were detained by ICE. They're now being held in Texas. - MLIVE
2025-11-20 | East Elmhurst home entry
2025-11-20 | Green Card Interviews End in Handcuffs for Spouses of U.S. Citizens - The New York Times
2025-11-20 | RI Supreme Court justice rips ICE aftern intern 'wrongfully' detained - USA Today
2025-11-20 | Rockville MD Alleged Traffic Stops
2025-11-21 | High school senior, a U.S. citizen, detained by ICE in Oregon - The Oregonian/OregonLive
2025-11-22 | OU College of International Studies professor reportedly arrested by ICE - OU Daily
2025-11-24 | A New York Marriage is Torn Apart by ICE - Documented
2025-11-25 | Family of man swept up in St. Paul ICE raid say agents entered house without a warrant - Sahan Journal
2025-11-25 | Man detained by ICE as federal agents, police clash with protesters in St. Paul, chemical irritans deployed - CBS News
2025-11-26 | Detroit teenagers were detained by ICE. They're now being held in Texas - MLIVE
2025-11-26 | Father, 6-year-old son allegedly separated after being detained by ICE in NYC - CBS News
2025-11-28 | Winooski second-grader arrested by federal law enforcement over holiday break - MyNBC 5
2025-11-XX | Bloomington MN Operation Creep ICE Arrest
2025-12-03 | I'm a U.S. Citizen.' Agents pull woman from car in Keys. Feds said she wouldn't show ID - Miami Herald
2025-12-03 | ICE detains local businessman and La Casa founder in alleged sting - WXXI News
2025-12-03 | US citizen arrested during immigration crackdown, family says - FOX 9
2025-12-04 | ICE agents under scrutiny after man’s legs allegedly crushed in Vancouver arrest - OPB
2025-12-04 | ICE detains wife at green card interview despite always having legal status - Newsweek
2025-12-05 | Rep. Adelita Grijalva says she was 'sprayed in the face' during ICE confrontation - NBC News
2025-12-06 | ICE detains Michigan construction worker heading to job site. Lawmakers push for release - MLIVE
2025-12-06 | ICE raided a Minnesota home, arresting 4 and frightening U.S. citizens, family says - NBC News
2025-12-07 | Detroit teenagers were detained by ICE. They're now being held in Texas - MLIVE
2025-12-09 | ICE agents wrongfully detained U.S. citizen in Minneapolis for looking Somali, city leaders say - CBS Minnesota
2025-12-10 | Minneapolis Cedar-Riverside detention
2025-12-15 | Assault of pregnant woman by ICE in Minneapolis captured on video
2025-12-16 | Chanhassen construction site raid
2025-XX-XX | Bronx Highbridge Ogden Avenue ICE raid
2026-01-10 | NA WA Multiple ICE agents threaten attorney
XXXX-XX-XX | Abrego Illegal Deportation Incident
XXXX-XX-XX | Kenny Laynez-Ambrosio Traffic Stop and Arrests
