DATE       | LINK_SLUG   |                                            | TOPIC               | DESCRIPTION
---------- | 8lMZkJOjd9Y | http://youtube.com/watch?v=8lMZkJOjd9Y | --                  | Hearing Protection compared (Peltors, Ops Core AMP, Sordin, Liberators)
---------- | Ii94Hd7TeSY | http://youtube.com/watch?v=Ii94Hd7TeSY | --                  | The MK12 SPR, SOCOM rifle for Designated Marksman
---------- | B4UWHLrnY-g | http://youtube.com/watch?v=B4UWHLrnY-g | --                  | The Sten MK II |
---------- | 9tZAfmejXCQ | http://youtube.com/watch?v=9tZAfmejXCQ | --                  | 4 Things to know before you buy a handgun
---------- | Mmio2xC49xk | http://youtube.com/watch?v=Mmio2xC49xk | --                  | Why you should compete with your firearms
---------- | 3lxk8HIvjIU | http://youtube.com/watch?v=3lxk8HIvjIU | --                  | Basics of Navigational Tools
---------- | YUBGq9Xz_Jc | http://youtube.com/watch?v=YUBGq9Xz_Jc | --                  | How to Paint your Rifle
---------- | 8FQotgq_F7c | http://youtube.com/watch?v=8FQotgq_F7c | --                  | Where has Garand Thumb been? And where are we going?
---------- | 8ZIqSCWZaac | http://youtube.com/watch?v=8ZIqSCWZaac | --                  | Radical Firearms Mil/LE Rifle RF-16
---------- | oo0EOrkoZ2Q | http://youtube.com/watch?v=oo0EOrkoZ2Q | --                  | Leupold MK6 1-6x The best 1-6x on the market?
---------- | nUBOTIMf5XM | http://youtube.com/watch?v=nUBOTIMf5XM | --                  | F4 Defense F4-15
---------- | rw95oP8w2gk | http://youtube.com/watch?v=rw95oP8w2gk | --                  | Glock 17 GEN 5 |
---------- | -OOWdlDNmKk | http://youtube.com/watch?v=-OOWdlDNmKk | --                  | STI Tactical
---------- | jia0gmtsQxE | http://youtube.com/watch?v=jia0gmtsQxE | --                  | Sons Of Liberty Gun Works AR15
---------- | It3T7yWja_Q | http://youtube.com/watch?v=It3T7yWja_Q | --                  | Brand new EOTech Green Reticle
---------- | Sr_h_fInMBw | http://youtube.com/watch?v=Sr_h_fInMBw | --                  | B&T GHM9 pistol caliber carbine (MP5 competitor?)
---------- | OaE7Ot9pcy0 | http://youtube.com/watch?v=OaE7Ot9pcy0 | --                  | JP Enterprises SCR-11, the fastest AR-15 around
---------- | F2cOfS4-SY0 | http://youtube.com/watch?v=F2cOfS4-SY0 | --                  | US Army's new handgun The Sig Sauer M17
---------- | chJ7dr7XClw | http://youtube.com/watch?v=chJ7dr7XClw | --                  | Daniel Defense M4V7 Pistol (mk18 updated?!)
---------- | GFxw1d6z8dk | http://youtube.com/watch?v=GFxw1d6z8dk | --                  | The Desert Tech MDR (.308/7.62x51)
---------- | flVBPpKG4zA | http://youtube.com/watch?v=flVBPpKG4zA | --                  | the cheapest handgun, the Hi Point
---------- | C-oXsn0MKcs | http://youtube.com/watch?v=C-oXsn0MKcs | --                  | Why the Surefire Masterfire holster is not for you
---------- | DoZ3leUm98A | http://youtube.com/watch?v=DoZ3leUm98A | --                  | SOCOM's new optic: Nightforce ATACR 1-8x
---------- | K5tQEYXk0rU | http://youtube.com/watch?v=K5tQEYXk0rU | --                  | The Glock 45, the latest Glock design.
---------- | RtuKv-huTlQ | http://youtube.com/watch?v=RtuKv-huTlQ | --                  | Beretta Elite LTT (Langdon Tactical 92)
---------- | onzmRmgD9w4 | http://youtube.com/watch?v=onzmRmgD9w4 | --                  | HK UMP 45
---------- | mYL0Tq85634 | http://youtube.com/watch?v=mYL0Tq85634 | --                  | Vietnam M16A1 vs Modern AR-15
---------- | otDmR9vBgtc | http://youtube.com/watch?v=otDmR9vBgtc | --                  | Nighthawk 1911 Enforcer .45 ACP
---------- | IzGWYrIf05A | http://youtube.com/watch?v=IzGWYrIf05A | --                  | The HK G36
---------- | polxptTGKMk | http://youtube.com/watch?v=polxptTGKMk | --                  | Travis Haley and Garand Thumb talk about their carbine (AR15/M4) setups
---------- | -yng8zJ1o80 | http://youtube.com/watch?v=-yng8zJ1o80 | --                  | Zenith Z5P/Z5 (MP5 / MP5K high quality clones)
---------- | HmZdH3wGGgo | http://youtube.com/watch?v=HmZdH3wGGgo | --                  | Mercon MK1 1-6x Low Power Variable Optic (Red dot and Long range?)
---------- | 85ZCh4E7cVY | http://youtube.com/watch?v=85ZCh4E7cVY | --                  |  Triarc 2011 TRI-11 Review (Modern 9mm 1911)
---------- | h5vGJDq2yV8 | http://youtube.com/watch?v=h5vGJDq2yV8 | --                  | PWS Rifles: Piston AR-15, better than the HK416?
---------- | 5BDyA6I2Ovk | http://youtube.com/watch?v=5BDyA6I2Ovk | --                  | Geissele URGI: The new Army Special Forces Rifle.
---------- | pbImvaiXGFU | http://youtube.com/watch?v=pbImvaiXGFU | --                  | The HK 416
---------- | BZlV_ITJi4I | http://youtube.com/watch?v=BZlV_ITJi4I | --                  | Night Vision Shooting in full color
---------- | Mxwi9fAe4s8 | http://youtube.com/watch?v=Mxwi9fAe4s8 | --                  | My favorite SBR Barrel lengths / setups
---------- | 3j07i_5H6yM | http://youtube.com/watch?v=3j07i_5H6yM | --                  | Basics of Range Bags (What to bring to the range)
---------- | mwQjqjRpqww | http://youtube.com/watch?v=mwQjqjRpqww | --                  | Vortex Razor HD Gen II 1-6x Optic
---------- | C-ghQZ1_s5Q | http://youtube.com/watch?v=C-ghQZ1_s5Q | --                  | Military M4 vs  High End Civilian AR15
---------- | krZt22UiPDk | http://youtube.com/watch?v=krZt22UiPDk | --                  | Walther PPQ Q4 Tac
---------- | nTkdAaWWHME | http://youtube.com/watch?v=nTkdAaWWHME | --                  | Helo Hog hunting with Last Shadow (Trex Arms also)
---------- | _eHeyWG-kWM | http://youtube.com/watch?v=_eHeyWG-kWM | --                  | What practice ammo should you use? (AR-15 / M4)
---------- | awZ8DB5p3gk | http://youtube.com/watch?v=awZ8DB5p3gk | --                  | ADM UIC Mod 2 Rifle
---------- | JwDqn0ftSv4 | http://youtube.com/watch?v=JwDqn0ftSv4 | --                  | Professional / Duty Plate Carrier Setup
---------- | UFu_uZ_Vkz0 | http://youtube.com/watch?v=UFu_uZ_Vkz0 | --                  | Haley Strategic D3CRM Micro Chest Rig
---------- | RoUOfdgbhfA | http://youtube.com/watch?v=RoUOfdgbhfA | --                  | Primary Arms Raptor 1-6x Cheap but awesome
---------- | W6lGsH7V5M4 | http://youtube.com/watch?v=W6lGsH7V5M4 | --                  | The Browning Hi Power
---------- | 51C1-SNAlhk | http://youtube.com/watch?v=51C1-SNAlhk | --                  | Basics of Night Vision Setup
---------- | yIJejiWnqn4 | http://youtube.com/watch?v=yIJejiWnqn4 | --                  | Special Forces / BAER Standard Drill
---------- | RJ2VgO3T6Qs | http://youtube.com/watch?v=RJ2VgO3T6Qs | --                  | CZ 75 SP-01 Tactical
---------- | EMJclRDkML0 | http://youtube.com/watch?v=EMJclRDkML0 | --                  | AR-15 Sling Setup Basics (2018 ver)
---------- | 41i3EueSRpg | http://youtube.com/watch?v=41i3EueSRpg | --                  | Recon Drill
---------- | 0QTL04p6nBs | http://youtube.com/watch?v=0QTL04p6nBs | --                  | Emissary 2.0 Belt - Battle/EDC/CCW all in one belt plus setup!
---------- | XwJY3RLsISk | http://youtube.com/watch?v=XwJY3RLsISk | --                  | Primary Arms Holosun Micro Red Dot Sight | A cheap Aimpoint alternative?!
---------- | tnYHlccNeTE | http://youtube.com/watch?v=tnYHlccNeTE | --                  | Vortex UH-1 Huey, the EOTech killer? (Lower priced holo sight)
---------- | 05yJpFw-sR8 | http://youtube.com/watch?v=05yJpFw-sR8 | --                  | Minimalist Civ/LEO Plate Carrier Setup / Ferro Concepts Slickster
---------- | swBviqp8k0c | http://youtube.com/watch?v=swBviqp8k0c | --                  | Aimpoint Comp M5 review (Brand new optic from Aimpoint!)
---------- | XCzIqgzT390 | http://youtube.com/watch?v=XCzIqgzT390 | --                  | Basics of Individual First Aid Kits / Boo Boo kits
---------- | c48rOiPu3kY | http://youtube.com/watch?v=c48rOiPu3kY | --                  | CQB AR15/M4 Setup | Black Powder Red Earth Special
---------- | tksIHPqD35Y | http://youtube.com/watch?v=tksIHPqD35Y | --                  | Elcan Specter Tri-Role 1x 3x 9x Optic
---------- | frI-IV6jK8Y | http://youtube.com/watch?v=frI-IV6jK8Y | --                  | DSA SA58 OSW (Operations Specialist Weapon)
---------- | MgFIpxiOajU | http://youtube.com/watch?v=MgFIpxiOajU | --                  | Basic Helmet Setup (Ops-Core Maritime Helmet)
---------- | Ji7w3ykNCtU | http://youtube.com/watch?v=Ji7w3ykNCtU | --                  | Radian Weapons Model 1 Rifle (Top Tier Rifle)
---------- | sl5lZt0cYpo | http://youtube.com/watch?v=sl5lZt0cYpo | --                  | Combat Pants Overview (Crye, Drifire, Beyond Clothing, UF PRO)
---------- | dt3qBd11k08 | http://youtube.com/watch?v=dt3qBd11k08 | --                  | Primary Arms 1-6X Optic, Budget Friendly!
---------- | HCyjHb2g1ww | http://youtube.com/watch?v=HCyjHb2g1ww | --                  | Greyhive: Firearms and Tactics training community
---------- | 0_Mqg0GhBZU | http://youtube.com/watch?v=0_Mqg0GhBZU | --                  | The MARSOC Drill
---------- | oS_XFurpUBE | http://youtube.com/watch?v=oS_XFurpUBE | --                  | Vietnam Era M16A1 (Apex Gun Parts)
---------- | I1YTw1Lz4DY | http://youtube.com/watch?v=I1YTw1Lz4DY | --                  | The Roland Special (Customized Glock 19)
---------- | OyAyUkuVu6A | http://youtube.com/watch?v=OyAyUkuVu6A | --                  | Knight's Armament SR-16 / SR-15 (The AR-15 evolved?)
---------- | mLUv92E3uLI | http://youtube.com/watch?v=mLUv92E3uLI | --                  | "Gunfighter" belt setup / First line gear (2018 ver)
---------- | qSPZrAFIN7M | http://youtube.com/watch?v=qSPZrAFIN7M | --                  | CMMG Guard 9mm
---------- | tOIm1kWG44U | http://youtube.com/watch?v=tOIm1kWG44U | --                  | BCM MCMR (MLOK) Upper receiver AR-15
---------- | dj62iiFs7ec | http://youtube.com/watch?v=dj62iiFs7ec | --                  | Trijicon TA44 1.5x with ACSS reticle: Tiny red dot for the apocalypse
---------- | bHStWMa90Lk | http://youtube.com/watch?v=bHStWMa90Lk | --                  | Elcan Specter DR 1-4x Optic Review and Setup
---------- | YI6dwSTp2v0 | http://youtube.com/watch?v=YI6dwSTp2v0 | --                  | TRIARC Systems AR-15: High-end, ambidextrous. Review.
---------- | CEUt9cS3eL0 | http://youtube.com/watch?v=CEUt9cS3eL0 | --                  | Chest rig comparison (Mayflower, Haley Strategic, Spiritus)
---------- | jD_gRTPpXk0 | http://youtube.com/watch?v=jD_gRTPpXk0 | --                  | Rosco AR-15 Barrels: Excellent and inexpensive
---------- | R-Wper31Ppo | http://youtube.com/watch?v=R-Wper31Ppo | --                  | Basics of Tactical Gloves
---------- | 3P5j0jfK1vE | http://youtube.com/watch?v=3P5j0jfK1vE | --                  | Basics of Everyday Carry (EDC) + Watches
---------- | pCseCsThnNc | http://youtube.com/watch?v=pCseCsThnNc | --                  | EOTech Vudu 1-6X Optic Review (Also Compared to Vortex 1-6X)
---------- | MVwQDUpPMAI | http://youtube.com/watch?v=MVwQDUpPMAI | --                  | Primary Arms ACOG with ACSS reticle
---------- | YDv87El9md0 | http://youtube.com/watch?v=YDv87El9md0 | --                  | Basics of custom Glocks
---------- | bq860Js0QJ0 | http://youtube.com/watch?v=bq860Js0QJ0 | --                  | CZ 805 Bren pistol / The Czech SCAR?
---------- | tUKHY7OHIRc | http://youtube.com/watch?v=tUKHY7OHIRc | --                  | Survival Tip: Fire starting when wounded / EDC Core flameless lighter product highlight
---------- | DeTQyBXUjhI | http://youtube.com/watch?v=DeTQyBXUjhI | --                  | MK18 Mod 1 / SBR Setup (2017 edition)
---------- | SPUb7RDDPwo | http://youtube.com/watch?v=SPUb7RDDPwo | --                  | Review: The M-Zero Scope Mount - One optic zeroed for multiple rifles.
---------- | UtFNmvOqdho | http://youtube.com/watch?v=UtFNmvOqdho | --                  | Trijicon RMR vs Leupold DeltaPoint Pro for Pistols
---------- | Ycy1AnELTGg | http://youtube.com/watch?v=Ycy1AnELTGg | --                  | Mini Review: EXOTAC Fire starters
---------- | l7LRR2CxvBM | http://youtube.com/watch?v=l7LRR2CxvBM | --                  | Glock 19 Gen 5 Initial Impressions (also the illuminati)
---------- | x8qympAk-HA | http://youtube.com/watch?v=x8qympAk-HA | --                  | EOTech EXPS review: The redemption of EOTech
---------- | qH-1YkVSmB8 | http://youtube.com/watch?v=qH-1YkVSmB8 | --                  | Mounting an optic in scope rings (EOTech Vudu 1-6x in a Geissele mount) Sharp Shooting, Spokane WA
---------- | dDOC5SNV2FQ | http://youtube.com/watch?v=dDOC5SNV2FQ | --                  | The battle belt / edc belt all in one. The Emissary belt
---------- | LHgmsq6dSlE | http://youtube.com/watch?v=LHgmsq6dSlE | --                  | Red Dot + Magnifier vs Low Power Variable Optic (1-6x)
---------- | _RX13M8KBPs | http://youtube.com/watch?v=_RX13M8KBPs | --                  | Channel Trailer #1 (The THOT Knight)
---------- | dfJGI06yRhQ | http://youtube.com/watch?v=dfJGI06yRhQ | --                  | Basics of Go Bags / 3 Day Assault Packs
---------- | _8s5lPBBJLc | http://youtube.com/watch?v=_8s5lPBBJLc | --                  | Aero Precision M16A4 impressions and setup
---------- | CzzH_Soh0Uc | http://youtube.com/watch?v=CzzH_Soh0Uc | --                  | CZ P-10 C Initial Review (And Rebuttal to Larry Vickers)
---------- | CZXCgbA12bw | http://youtube.com/watch?v=CZXCgbA12bw | --                  | Basics of "Tactical" Hydration (IcePlate, MSR, Camelbak, Source)
---------- | FdB-a0pcXac | http://youtube.com/watch?v=FdB-a0pcXac | --                  | Best rifle magazine pouch (AR-15)
---------- | mf8FiM7LSo4 | http://youtube.com/watch?v=mf8FiM7LSo4 | --                  | Best Military / Professional Holster SAFARILAND 6354
---------- | DA-XgiMPff4 | http://youtube.com/watch?v=DA-XgiMPff4 | --                  | Basic AR15 / M4 Duty and Professional use setup
---------- | vLMYHJbp3sQ | http://youtube.com/watch?v=vLMYHJbp3sQ | --                  | M1 Garand montage
---------- | gz1IJk6MZOI | http://youtube.com/watch?v=gz1IJk6MZOI | --                  | Basics of Tactical Eye Protection (Smith Elite, Oakley, Revision, Gatorz)
---------- | OeHlULyVpC4 | http://youtube.com/watch?v=OeHlULyVpC4 | --                  | How to paint your AR-15
---------- | GGG1I8tZXpM | http://youtube.com/watch?v=GGG1I8tZXpM | --                  | Trijicon MRO vs Aimpoint T1 Micro
---------- | ghqr59GXuuY | http://youtube.com/watch?v=ghqr59GXuuY | --                  | Basics of Survival Knives (Morakniv, ESEE, Becker / KABAR)
---------- | G4NOykTwnZA | http://youtube.com/watch?v=G4NOykTwnZA | --                  | Aimpoint vs EOTech
---------- | ruHJ5QYYNBQ | http://youtube.com/watch?v=ruHJ5QYYNBQ | --                  | Thoughts on the Glock 19 MOS after 9k rounds.
---------- | zcKD209-BRU | http://youtube.com/watch?v=zcKD209-BRU | --                  | Red dots on pistols. Pros and Cons
---------- | rpMq7ck-1aQ | http://youtube.com/watch?v=rpMq7ck-1aQ | --                  | Firearm Drills: 12 round warmup drill
---------- | jebZ0GQwVsc | http://youtube.com/watch?v=jebZ0GQwVsc | --                  | Firearms drills: Collateral drill (transition and cadence)
---------- | tqFhKPJl3ks | http://youtube.com/watch?v=tqFhKPJl3ks | --                  | Basics of Conceal Carry holsters / IWB vs OWB
---------- | JXFVe-2yXhY | http://youtube.com/watch?v=JXFVe-2yXhY | --                  | Basics of Duty / Military / Tactical Holsters
---------- | CtXKqApveRk | http://youtube.com/watch?v=CtXKqApveRk | --                  | Basic Sling selection for the M4/AR-15
---------- | UHru6rNixHs | http://youtube.com/watch?v=UHru6rNixHs | --                  | Basic Assault Pack / Day Pack / 24h pack setup
---------- | CHMMzk2ytnk | http://youtube.com/watch?v=CHMMzk2ytnk | --                  | Which combat pants should you buy? Crye, Drifire, Truspec, BDU, Arc'Teryx, Airsoft
---------- | v_tPh_0Brkg | http://youtube.com/watch?v=v_tPh_0Brkg | --                  | Which combat shirt should you buy? Crye vs Patagonia vs FFI vs First Spear vs 5.11
---------- | y93t4YzgrPg | http://youtube.com/watch?v=y93t4YzgrPg | --                  | Basics of Suppressing the AR-15
---------- | JQc-z8MVhvY | http://youtube.com/watch?v=JQc-z8MVhvY | --                  | Recce Rifle / Short & Long Range Patrol Rifle setup
---------- | zWvi3yzimZ4 | http://youtube.com/watch?v=zWvi3yzimZ4 | --                  | Basics of "tactical" boot selection and wear.
---------- | u1cCPltvoUs | http://youtube.com/watch?v=u1cCPltvoUs | --                  | Basic Long Range / Survival Pack Setup
---------- | umV9g5lrvjk | http://youtube.com/watch?v=umV9g5lrvjk | --                  | Basic Helmet Setup
---------- | bkO8IoHxsgI | http://youtube.com/watch?v=bkO8IoHxsgI | --                  | First Line Gear / "Gunfighter" Belt setup
---------- | PO_8GGluIOM | http://youtube.com/watch?v=PO_8GGluIOM | --                  | Plate Carrier Setup (General / Crye JPC)
---------- | 5Ugvep6XQIE | http://youtube.com/watch?v=5Ugvep6XQIE | --                  | Survival / Recce Chest Rig setup
---------- | fioUsTqMufU | http://youtube.com/watch?v=fioUsTqMufU | --                  | MK18 CQBR Setup
---------- | KFpk8EW9n5k | http://youtube.com/watch?v=KFpk8EW9n5k | --                  | Mag change is love, mag change is life.
---------- | DceSKNYXpXQ | http://youtube.com/watch?v=DceSKNYXpXQ | --                  | Review: Delta X helmet, lightest ballistic helmet on the market.
---------- | 15DPL0UeyyM | http://youtube.com/watch?v=15DPL0UeyyM | --                  | Review: Daniel Defense MK18 (M4A1 CQB)
---------- | F9-HxKaukU4 | http://youtube.com/watch?v=F9-HxKaukU4 | --                  | The 1911 (ft. Johnny Cash)
---------- | s4EzaSI_EMg | http://youtube.com/watch?v=s4EzaSI_EMg | --                  | Review: Magpul Core Breach Glove
---------- | e0bjUxBNEu8 | http://youtube.com/watch?v=e0bjUxBNEu8 | --                  | Review: Troy Alpha Carbine w/ M7A1 Stock system
---------- | Rjem-4qbFCI | http://youtube.com/watch?v=Rjem-4qbFCI | --                  | Firearm Tips #1: Dirty Weapon Light
---------- | er__eN-Xm_M | http://youtube.com/watch?v=er__eN-Xm_M | --                  | Review: M1/M1A Micro Red Dot Mount by Hopco USA
---------- | bpy4DEMrd2M | http://youtube.com/watch?v=bpy4DEMrd2M | --                  | Review: FOSSA 5.56 Flash Hider - White Sound Defense
---------- | xjrlrmnGiIY | http://youtube.com/watch?v=xjrlrmnGiIY | --                  | Snowshoeing to camp
---------- | V-AShfEmzEk | http://youtube.com/watch?v=V-AShfEmzEk | --                  | How to silently load the AR-15... and kill skinwalkers
---------- | So_OEDJpvXI | http://youtube.com/watch?v=So_OEDJpvXI | --                  | How to use AR-15 stripper clips
---------- | 8A9LmZ2kVHo | http://youtube.com/watch?v=8A9LmZ2kVHo | --                  | Being the opposing force. Blank firing battle.
---------- | 7FHTTgiVBnw | http://youtube.com/watch?v=7FHTTgiVBnw | --                  | Long range at the range. Garand and Remington 700. 480 and 765 yards!
---------- | UP6tmLnpoUg | http://youtube.com/watch?v=UP6tmLnpoUg | --                  | M16A4 clone hammered pair, moving and shooting
---------- | s7-v0dXpnK8 | http://youtube.com/watch?v=s7-v0dXpnK8 | --                  | SKS at 480 yards w/ iron sights!
---------- | bjOvV0OmbOc | http://youtube.com/watch?v=bjOvV0OmbOc | --                  | SPOSN Smersh quick overview
---------- | aS3SpA3TLRY | http://youtube.com/watch?v=aS3SpA3TLRY | --                  | Garand at speed II
---------- | hngS3xxPrOk | http://youtube.com/watch?v=hngS3xxPrOk | --                  | SKS at speed
---------- | iFtouuMyNSo | http://youtube.com/watch?v=iFtouuMyNSo | --                  | Garand thumb
---------- | Gj10btlb6HM | http://youtube.com/watch?v=Gj10btlb6HM | --                  | M1 Garand: Olongapo Outfitters Garand grab and go.
---------- | OiTJOz1XFGA | http://youtube.com/watch?v=OiTJOz1XFGA | --                  | M1 Garand at speed. Hammered pair, speed reloads, plinking
---------- | GTvujx8WTkw | http://youtube.com/watch?v=GTvujx8WTkw | --                  | M&P Shield 9mm Field Strip/Disassembly
---------- | FAiu9bt3lWo | http://youtube.com/watch?v=FAiu9bt3lWo | --                  | Loading the M1 Garand
---------- | TVD4qtuWqho | http://youtube.com/watch?v=TVD4qtuWqho | --                  | FEG PJK-9HP (Browning Hi Power clone) Field strip/disassembly
2011-10-14 | zCEYCmKKp8E | http://youtube.com/watch?v=zCEYCmKKp8E | --                  | Beretta 92 FS/M9 Disassembly/Field Strip
2011-08-03 | kBib7EUvh_U | http://youtube.com/watch?v=kBib7EUvh_U | --                  | The realities of med school
