DATE       | LINK_SLUG   |                                            | TOPIC               | DESCRIPTION
---------- | m1P0dP3M7fE | http://youtube.com/watch?v=m1P0dP3M7fE | terminal-ballistics | Can a Rifle stop a Bullet and save your life? Bullets vs Gun
---------- | Z-IKSZd1C8g | http://youtube.com/watch?v=Z-IKSZd1C8g | --                  | Should you carry a 44 Magnum Revolver? THE BIG IRON
---------- | DnAi2R3Iv8Y | http://youtube.com/watch?v=DnAi2R3Iv8Y | --                  | How Far are Shotguns Deadly? BirdShot, Slugs, and 00 Buckshot
---------- | OmgzsdW3zjI | http://youtube.com/watch?v=OmgzsdW3zjI | --                  | The Russian SKS, The Soviet gift to the world.
---------- | YqqlPLmAzro | http://youtube.com/watch?v=YqqlPLmAzro | --                  | Gigachad Mosin-Nagant / The Worst Mosin-Nagant ever made
---------- | PT059hCJKFk | http://youtube.com/watch?v=PT059hCJKFk | --                  | How strong is this Russian Titanium helmet? The Altyn Helmet
---------- | hRqtqzxtzkg | http://youtube.com/watch?v=hRqtqzxtzkg | --                  | The PSA AK-74 is back for REDEMPTION
---------- | mZ4OmUfI4z4 | http://youtube.com/watch?v=mZ4OmUfI4z4 | terminal-ballistics | 9mm vs 45 ACP, WE END THE DEBATE. The Human Torso Test.
---------- | sDIUgeOzCDM | http://youtube.com/watch?v=sDIUgeOzCDM | --                  | The Beretta 1301 Tactical Shotgun. The Italian Stallion is here.
---------- | e-kE_wbGLhE | http://youtube.com/watch?v=e-kE_wbGLhE | reliability         | Muddy Rifle Test. (AK, AR-15, SCAR, FAL etc)
---------- | 9MoEbbmHrL0 | http://youtube.com/watch?v=9MoEbbmHrL0 | --                  | The HK USP 45
---------- | ecqS88lE5dY | http://youtube.com/watch?v=ecqS88lE5dY | terminal-ballistics | Do bulletproof masks actually work? Ballistic test.
---------- | ki_uE34Akl0 | http://youtube.com/watch?v=ki_uE34Akl0 | --                  | The AK-105. The Russian Alpha AK.
---------- | LbjpIP5ShH0 | http://youtube.com/watch?v=LbjpIP5ShH0 | --                  | Freezing Rifle Test. (AK, AR-15, SCAR, FAL etc)
---------- | 24yz0OzVlE4 | http://youtube.com/watch?v=24yz0OzVlE4 | --                  | How effective is your 9mm carry ammo? 9MM VS HUMAN TORSO
---------- | bA_CGAAeKCo | http://youtube.com/watch?v=bA_CGAAeKCo | loadouts            | Recce Rifle Setup and Camouflage / Mountain Rifle Setup. Becoming Deadly in the Mountains Part 2.
---------- | UwQ2ks9Gl5A | http://youtube.com/watch?v=UwQ2ks9Gl5A | terminal-ballistics | 50 Cal Explosive Bullets vs Torso
---------- | -1fNG57ZtFQ | http://youtube.com/watch?v=-1fNG57ZtFQ | --                  | Springfield Armory SA-35, The Hi power is back as the SA-35
---------- | -bnWPiT1Lg0 | http://youtube.com/watch?v=-bnWPiT1Lg0 | --                  | The best fighting carbine ever made? Knight's Armament SR-15
---------- | zKZdxYMWqzw | http://youtube.com/watch?v=zKZdxYMWqzw | loadouts            | Basics of RECCE and Recon Kit (How to become DEADLY in the mountains, PART 1)
---------- | e-VSGqRzCfE | http://youtube.com/watch?v=e-VSGqRzCfE | --                  | The Czechs took an AK but made it better. The VZ. 58 (smol) Czech Mi litary Service Rifle
---------- | ptF9BBL669w | http://youtube.com/watch?v=ptF9BBL669w | --                  | THE SVD, DRAGUNOV. Russia's sniper rifle plus Combat accuracy test.
---------- | 5r2SGMPnb0A | http://youtube.com/watch?v=5r2SGMPnb0A | --                  | What firearm destroys pumpkins the best? Firearms vs Pumpkins, SPOOKY HALLOWEEN SPECIAL.
---------- | UXjPfRHdG28 | http://youtube.com/watch?v=UXjPfRHdG28 | --                  | Retro rifle setups rock, 3 reasons why they are making a comeback
---------- | BQAfHvpv6uk | http://youtube.com/watch?v=BQAfHvpv6uk | --                  | 50 Cal VS. Human Head
---------- | rHN5KSLcS2M | http://youtube.com/watch?v=rHN5KSLcS2M | --                  | The VITYAZ, the MP5 of Russia. (SMOL AK47)
---------- | dG3j48dzlGc | http://youtube.com/watch?v=dG3j48dzlGc | --                  | 40MM Grenade Launcher vs Torso at Point Blank Range
---------- | jHPyLu5PWtg | http://youtube.com/watch?v=jHPyLu5PWtg | --                  | I review the AK-50
---------- | m2yrRss1yoI | http://youtube.com/watch?v=m2yrRss1yoI | --                  | Russian Special Operations AK / We modernized some AKs
---------- | GrCyV-YmQ54 | http://youtube.com/watch?v=GrCyV-YmQ54 | --                  | Italy’s Service Rifle, ARX-160 / a very bizzare rifle, but still Italian perfection 🇮🇹
---------- | W4L1d1hahR0 | http://youtube.com/watch?v=W4L1d1hahR0 | --                  | The AUG / AUSTRIAN SERVICE RIFLE, the best bullpup ever made?
---------- | INoJlULbXik | http://youtube.com/watch?v=INoJlULbXik | --                  | The Benelli M4 / M1014: The Marine Corps Combat Shotgun
---------- | ssvZWdu4sZ0 | http://youtube.com/watch?v=ssvZWdu4sZ0 | --                  | I give myself Garand Thumb / we find out how painful garand thumb is
---------- | 73Fzaz7fxN0 | http://youtube.com/watch?v=73Fzaz7fxN0 | --                  | Smith and Wesson M&P 2.0 vs Glock
---------- | DO0H1CZgzyk | http://youtube.com/watch?v=DO0H1CZgzyk | --                  | The HK416 A5, the newest variant
---------- | H57Kf-Z9-8c | http://youtube.com/watch?v=H57Kf-Z9-8c | --                  | The BRN-180
---------- | BlZF-xK9ZwY | http://youtube.com/watch?v=BlZF-xK9ZwY |terminal-ballistics  | Shotgun vs HEADS
---------- | RLwhU5s86sU | http://youtube.com/watch?v=RLwhU5s86sU | --                  | The WORST GUN I have ever shot
---------- | imZ8K4AbOMI | http://youtube.com/watch?v=imZ8K4AbOMI | --                  | MP7A2 vs Gel Blocks
---------- | b3FnzL4ZnT4 | http://youtube.com/watch?v=b3FnzL4ZnT4 | --                  | The Best Optic For the End of the World?
---------- | WiDt1pPiXVg | http://youtube.com/watch?v=WiDt1pPiXVg | --                  | Is the MK18 obsolete?
---------- | URq_daECsIk | http://youtube.com/watch?v=URq_daECsIk | --                  | Just how good was the ACR?
---------- | pdFe9fWvJGI | http://youtube.com/watch?v=pdFe9fWvJGI | --                  | The US Army’s new optic
---------- | FlHsVQDbyx4 | http://youtube.com/watch?v=FlHsVQDbyx4 | terminal-ballistics | How Deadly are Shotguns?
---------- | A-Yj8lIe7G4 | http://youtube.com/watch?v=A-Yj8lIe7G4 | --                  | Suppressors Will Save Your Life
---------- | Z8bpWFTEJaQ | http://youtube.com/watch?v=Z8bpWFTEJaQ | --                  | How the Military Perfected the M4
---------- | tCq7pEtSIV4 | http://youtube.com/watch?v=tCq7pEtSIV4 | --                  | Travis Haley talks about gunfighting
---------- | QM8pFGdZ_-Q | http://youtube.com/watch?v=QM8pFGdZ_-Q | --                  | Palmetto State Armory AK-74 (American made AK-74)
---------- | wQ3BOLsJNoo | http://youtube.com/watch?v=wQ3BOLsJNoo | --                  | The Luger
---------- | MC9vZiqj38g | http://youtube.com/watch?v=MC9vZiqj38g | --                  | Grenade Launching Pistol
---------- | FnjIrOuKX2o | http://youtube.com/watch?v=FnjIrOuKX2o | --                  | SWORD piston AR-15
---------- | ELf7xtiEmDk | http://youtube.com/watch?v=ELf7xtiEmDk | --                  | Does the US Military hate the SCAR H?
---------- | txOqq5D-oIk | http://youtube.com/watch?v=txOqq5D-oIk | terminal-ballistics | 22 vs Human Head
---------- | FriD1RYXHQ4 | http://youtube.com/watch?v=FriD1RYXHQ4 | --                  | MA5C The Standard UNSC Rifle
---------- | 47ELFA_wvsk | http://youtube.com/watch?v=47ELFA_wvsk | shooting            | My warmup, Low Round Count Drills to Stay Efficient
---------- | sKAgduimGVM | http://youtube.com/watch?v=sKAgduimGVM | --                  | 12 Gauge AR (Gen 12)
---------- | YVYOoJyT45A | http://youtube.com/watch?v=YVYOoJyT45A | --                  | Black Hawk Down M14
---------- | WMdjYkuF1TA | http://youtube.com/watch?v=WMdjYkuF1TA | --                  | Mauser C96 “Broomhandle”
---------- | hHuIk_qxRtg | http://youtube.com/watch?v=hHuIk_qxRtg | shooting            | 12 Round Drill to stay proficient (By Chris Way!)
---------- | TwR3MT4_Hq0 | http://youtube.com/watch?v=TwR3MT4_Hq0 | --                  | Rifle for the APOCALYPSE
---------- | SYJPtItdmAY | http://youtube.com/watch?v=SYJPtItdmAY | --                  | Staccato, the fastest service pistol.
---------- | kC9jblDRI0E | http://youtube.com/watch?v=kC9jblDRI0E | --                  | SIG MCX RATTLER / M13 SUPPRESSED
---------- | T_MANOYgc8I | http://youtube.com/watch?v=T_MANOYgc8I | --                  | First mag jammed!? STRIBOG SP9A3! (A DISASTER AVOIDED?)
---------- | NPr9JWlcu7I | http://youtube.com/watch?v=NPr9JWlcu7I | --                  | How powerful is a CIVILIAN Taser? (Giant Samoan man and Marine tased)
---------- | c0z93mBtECA | http://youtube.com/watch?v=c0z93mBtECA | --                  | 80,000 ROUND SUPPRESSOR REVIEW (Spec Op's suppressor) Surefire SOCOM RC
---------- | dmWOTBQdePo | http://youtube.com/watch?v=dmWOTBQdePo | --                  | The Galil ACE 7.62x39 Pistol
---------- | zFrn27e9Dzk | http://youtube.com/watch?v=zFrn27e9Dzk | --                  | The most underrated handgun?! Walther Q4 SF
---------- | caYoS7T_qqE | http://youtube.com/watch?v=caYoS7T_qqE | --                  | The Galil
---------- | m_V2ZFwmLrs | http://youtube.com/watch?v=m_V2ZFwmLrs | --                  | The Grau from COD is real, SIG 552
---------- | eHu84Og_mmQ | http://youtube.com/watch?v=eHu84Og_mmQ | --                  | Home Defense Weapons
---------- | yY76AeZ9kyQ | http://youtube.com/watch?v=yY76AeZ9kyQ | --                  | The Thompson Submachinegun
---------- | LW4fi79OmL4 | http://youtube.com/watch?v=LW4fi79OmL4 | --                  | What do I conceal carry? Basics of Conceal Carry
---------- | GEBMDjpiwR0 | http://youtube.com/watch?v=GEBMDjpiwR0 | --                  | Red Dots now fit on Beretta 92's and they rock (Langdon LTT  Beretta)
---------- | 8e8HKWbb0XM | http://youtube.com/watch?v=8e8HKWbb0XM | --                  | HK just imported their most famous SMG. The SPK5
---------- | ZYi0SNl0VOo | http://youtube.com/watch?v=ZYi0SNl0VOo | --                  | How to control recoil (With MOJO)
---------- | q789nlbiVyA | http://youtube.com/watch?v=q789nlbiVyA | --                  | Affordable US made AK-103! (Palmetto State Armory)
---------- | zAAiFLr4y6w | http://youtube.com/watch?v=zAAiFLr4y6w | --                  | You can own a Grenade Launcher (40mm, not a flare launcher)
---------- | _dnwooIoPWE | http://youtube.com/watch?v=_dnwooIoPWE | --                  | The HK MP7
---------- | kuf2mapPZtI | http://youtube.com/watch?v=kuf2mapPZtI | --                  | The HK53 (556 MP5)
---------- | XavAanwtoww | http://youtube.com/watch?v=XavAanwtoww | --                  | Army Ranger explains how to win a gunfight (With KAGWERKS)
---------- | QL0cIdqAJ6o | http://youtube.com/watch?v=QL0cIdqAJ6o | --                  | The Archon Type B, super low recoil gun
---------- | TCFRWFh4Uyc | http://youtube.com/watch?v=TCFRWFh4Uyc | shooting            | How to shoot faster (With Mojo)
---------- | 5Kp8YRhZag0 | http://youtube.com/watch?v=5Kp8YRhZag0 | --                  | Wilson Combat P320 / New and Improved Army Service handgun?
