 _ | film  | 1979 | The Warriors                                                   | --
 x | film  | 2004 | I, Robot                                                       | --
 x | film  | 2004 | Napoleon Dynamite                                              | --
 x | film  | 2004 | National Treasure                                              | --
 x | film  | 2004 | Ocean's Twelve                                                 | --
 x | film  | 2004 | Primer                                                         | ♥
 x | film  | 2004 | The Day After Tomorrow                                         | --
 x | film  | 2004 | The Ladykillers                                                | ★★ tom hanks acting weird. good cat
 x | film  | 2004 | The Phantom of the Opera                                       | --
 x | film  | 2004 | The Princess Diaries 2: Royal Engagement                       | --
 x | film  | 2004 | Tremors 4: The Legend Begins                                   | --
 x | film  | 2004 | Van Helsing                                                    | ♥ ★★ This is just Shrek for adults.
 x | film  | 2005 | Batman Begins                                                  | --
 x | film  | 2005 | Charlie and the Chocolate Factory                              | --
 x | film  | 2005 | Constantine                                                    | ♥ ★★★★ don't miss the post-credits scene where shia labeouf turns into an angel
 x | film  | 2005 | Fantastic Four                                                 | --
 x | film  | 2005 | Harry Potter and the Goblet of Fire                            | --
 x | film  | 2005 | King Kong                                                      | --
 x | film  | 2005 | Star Wars: Episode III – Revenge of the Sith                   | --
 x | film  | 2005 | The Chronicles of Narnia: The Lion, the Witch and the Wardrobe | --
 x | film  | 2005 | The Descent                                                    | ♥ ★★★★★ ok it's pretty good
 x | film  | 2005 | The Devil's Rejects                                            | --
 x | film  | 2005 | The Hitchhiker's Guide to the Galaxy                           | --
 x | film  | 2005 | The Pacifier                                                   | --
 x | film  | 2005 | Unleashed                                                      | ♥
 x | film  | 2005 | V for Vendetta                                                 | --
 x | film  | 2005 | War of the Worlds                                              | --
 x | film  | 2005 | Zathura: A Space Adventure                                     | --
 x | film  | 2006 | 300                                                            | --
 x | film  | 2006 | Apocalypto                                                     | ♥ ★★★★ The first 15 minutes are fun, can't wait to watch the rest.
 x | film  | 2006 | Cars                                                           | ♥
 x | film  | 2006 | Casino Royale                                                  | --
 x | film  | 2006 | Eragon                                                         | --
 x | film  | 2006 | Pan's Labyrinth                                                | --
 x | film  | 2006 | Pirates of the Caribbean: Dead Man's Chest                     | --
 x | film  | 2006 | Superman Returns                                               | --
 x | film  | 2006 | The Black Dahlia                                               | --
 x | film  | 2006 | The Departed                                                   | --
 x | film  | 2006 | The Illusionist                                                | --
 x | film  | 2006 | The Prestige                                                   | --
 x | film  | 2007 | Aliens vs Predator: Requiem                                    | ★ disrespectful to the troops (pizza delivery workers)
 x | film  | 2007 | Beowulf                                                        | --
 x | film  | 2007 | Harry Potter and the Order of the Phoenix                      | --
 x | film  | 2007 | No Country for Old Men                                         | ♥
 x | film  | 2007 | Ocean's Thirteen                                               | --
 x | film  | 2007 | Pirates of the Caribbean: At World's End                       | --
 x | film  | 2007 | Sweeney Todd: The Demon Barber of Fleet Street                 | --
 x | film  | 2007 | There Will Be Blood                                            | ♥
 x | film  | 2007 | Transformers                                                   | --
 x | film  | 2008 | 10,000 BC                                                      | ♥
 x | film  | 2008 | Cloverfield                                                    | --
 x | film  | 2008 | Doomsday                                                       | --
 x | film  | 2008 | Get Smart                                                      | --
 x | film  | 2008 | Ghost in the Shell 2.0                                         | --
 x | film  | 2008 | Ip Man                                                         | ♥
 x | film  | 2008 | Iron Man                                                       | --
 x | film  | 2008 | Journey to the Center of the Earth                             | --
 x | film  | 2008 | Mutant Chronicles                                              | ★
 x | film  | 2008 | Ong Bak 2                                                      | --
 x | film  | 2008 | Quantum of Solace                                              | --
 x | film  | 2008 | Repo! The Genetic Opera                                        | ♥
 x | film  | 2008 | Sleep Dealer                                                   | ♥ ★★★★ better than robocop
 x | film  | 2008 | The Curious Case of Benjamin Button                            | --
 x | film  | 2008 | The Dark Knight                                                | --
 x | film  | 2008 | The Day the Earth Stood Still                                  | --
 x | film  | 2008 | The Incredible Hulk                                            | --
 x | film  | 2008 | The Mummy: Tomb of the Dragon Emperor                          | --
 x | film  | 2008 | The Ruins                                                      | --
 x | film  | 2009 | Avatar                                                         | --
 x | film  | 2009 | Black Dynamite                                                 | --
 x | film  | 2009 | Daybreakers                                                    | --
 x | film  | 2009 | District 9                                                     | ♥
 x | film  | 2009 | Dragonball Evolution                                           | --
 x | film  | 2009 | Inglourious Basterds                                           | ♥
 x | film  | 2009 | Moon                                                           | ♥
 x | film  | 2009 | Sherlock Holmes                                                | --
 x | film  | 2009 | Splice                                                         | --
 x | film  | 2009 | Surviving Evil                                                 | ♥ ★★★
 x | film  | 2009 | Terminator Salvation                                           | --
 x | film  | 2009 | The Blind Side                                                 | --
 x | film  | 2009 | The Boondock Saints II: All Saints Day                         | --
 x | film  | 2009 | The Imaginarium of Doctor Parnassus                            | --
 x | film  | 2009 | Watchmen                                                       | --
 x | film  | 2009 | Zombieland                                                     | --
 x | film  | 2010 | Harry Potter and the Deathly Hallows: Part 1                   | --
 x | film  | 2010 | Inception                                                      | --
 x | film  | 2010 | Insidious                                                      | --
 x | film  | 2010 | Ip Man 2                                                       | --
 x | film  | 2010 | Iron Man 2                                                     | --
 x | film  | 2010 | Rare Exports: A Christmas Tale                                 | ♥
 x | film  | 2010 | RED                                                            | ♥
 x | film  | 2010 | Resident Evil: Afterlife                                       | --
 x | film  | 2010 | Shutter Island                                                 | ♥
 x | film  | 2010 | The Last Airbender                                             | --
 x | film  | 2010 | Uncle Boonmee Who Can Recall His Past Lives                    | ♥
 x | film  | 2011 | Captain America: The First Avenger                             | --
 x | film  | 2011 | Conan the Barbarian                                            | ★★ I fell asleep.
 x | film  | 2011 | Cowboys & Aliens                                               | --
 x | film  | 2011 | Harry Potter and the Deathly Hallows: Part 2                   | --
 x | film  | 2011 | Jiro Dreams of Sushi                                           | --
 x | film  | 2011 | Sherlock Holmes: A Game of Shadows                             | --
 x | film  | 2011 | Source Code                                                    | ♥
 x | film  | 2011 | Super 8                                                        | --
 x | film  | 2011 | The Cabin in the Woods                                         | --
 x | film  | 2011 | The Maker                                                      | ♥
 x | film  | 2011 | Thor                                                           | --
 x | film  | 2012 | Berserk: The Golden Age Arc I – The Egg of the King            | ♥
 x | film  | 2012 | Brave                                                          | --
 x | film  | 2012 | Cloud Atlas                                                    | ♥
 x | film  | 2012 | Indie Game: The Movie                                          | --
 x | film  | 2012 | It's Such a Beautiful Day                                      | --
 x | film  | 2012 | John Carter                                                    | --
 x | film  | 2012 | Life of Pi                                                     | ★ Didn't finish watching it, very unkind to the animals.
 x | film  | 2012 | Looper                                                         | --
 x | film  | 2012 | Men in Black 3                                                 | --
 x | film  | 2012 | Moonrise Kingdom                                               | --
 x | film  | 2012 | Resident Evil: Retribution                                     | --
 x | film  | 2012 | Skyfall                                                        | --
 x | film  | 2012 | The Avengers                                                   | --
 x | film  | 2012 | The Bourne Legacy                                              | --
 x | film  | 2012 | The Dark Knight Rises                                          | --
 x | film  | 2012 | The Hobbit: An Unexpected Journey                              | --
 x | film  | 2012 | The Pirates! In an Adventure with Scientists!                  | ♥
 x | film  | 2012 | Total Recall                                                   | ♥
 x | film  | 2013 | Blood Glacier                                                  | ♥ ★★★★ Really nice landscapes throughout.
 x | film  | 2013 | Doctor Who: The Day of the Doctor                              | --
 x | film  | 2013 | Elysium                                                        | ♥
 x | film  | 2013 | Ender's Game                                                   | --
 x | film  | 2013 | Iron Man 3                                                     | --
 x | film  | 2013 | Jodorowsky's Dune                                              | ♥
 x | film  | 2013 | Little Witch Academia                                          | --
 x | film  | 2013 | Man of Steel                                                   | --
 x | film  | 2013 | Riddick                                                        | ♥
 x | film  | 2013 | Snowpiercer                                                    | ♥
 x | film  | 2013 | The Hobbit: The Desolation of Smaug                            | --
 x | film  | 2013 | The Zero Theorem                                               | ♥ ★★★ gamers rise up
 x | film  | 2013 | Thor: The Dark World                                           | --
 x | film  | 2014 | Captain America: The Winter Soldier                            | --
 x | film  | 2014 | Guardians of the Galaxy                                        | --
 x | film  | 2014 | Paddington                                                     | --
 x | film  | 2014 | The Hobbit: The Battle of the Five Armies                      | --
 x | film  | 2014 | The Lego Movie                                                 | --
 x | film  | 2015 | Ant-Man                                                        | --
 x | film  | 2015 | Avengers: Age of Ultron                                        | --
 x | film  | 2015 | Chappie                                                        | --
 x | film  | 2015 | Crimson Peak                                                   | --
 x | film  | 2015 | Dope                                                           | --
 x | film  | 2015 | Little Witch Academia: The Enchanted Parade                    | --
 x | film  | 2015 | Mad Max: Fury Road                                             | --
 x | film  | 2015 | Spectre                                                        | --
 x | film  | 2015 | Star Wars: The Force Awakens                                   | --
 x | film  | 2015 | Terminator Genisys                                             | --
 x | film  | 2015 | Tremors 5: Bloodlines                                          | --
 x | film  | 2016 | Captain America: Civil War                                     | --
 x | film  | 2016 | Colossal                                                       | --
 x | film  | 2016 | Doctor Strange                                                 | --
 x | film  | 2016 | Finding Dory                                                   | --
 x | film  | 2016 | Hail, Caesar!                                                  | --
 x | film  | 2016 | Zootopia                                                       | --
 x | film  | 2017 | Blade Runner 2049                                              | ♥
 x | film  | 2017 | Double King                                                    | --
 x | film  | 2017 | Ghost in the Shell                                             | --
 x | film  | 2017 | Guardians of the Galaxy Vol. 2                                 | --
 x | film  | 2017 | Killing Gunther                                                | ♥
 x | film  | 2017 | Life                                                           | ♥
 x | film  | 2017 | Murder on the Orient Express                                   | ★★ action poirot is really funny
 x | film  | 2017 | Okja                                                           | --
 x | film  | 2017 | Spider-Man: Homecoming                                         | --
 x | film  | 2017 | The Endless                                                    | ♥ ★★★ It's pretty good but I wanted more spirals.
 x | film  | 2017 | The Ritual                                                     | ♥ ★★★★ good monster
 x | film  | 2017 | Thor: Ragnarok                                                 | ♥
 x | film  | 2017 | Twin Peaks: The Return                                         | ♥
 x | film  | 2018 | Black Panther                                                  | ♥
 x | film  | 2018 | Black Water                                                    | ★ boring
 x | film  | 2018 | High Life                                                      | ♥ ★★★★ Hope you like fluids!
 x | film  | 2018 | The Predator                                                   | --
 x | film  | 2019 | Doom: Annihilation                                             | --
 x | film  | 2019 | Smash and Grab                                                 | ♥
 x | film  | 2019 | Terminator: Dark Fate                                          | --
 x | film  | 2019 | Triple Threat                                                  | --
 x | film  | 2020 | Double World                                                   | ★★ Good animals but also if you're a woman in this film you're probably going to be tortured and killed.
 x | film  | 2021 | Army of the Dead                                               | --
 x | film  | 2022 | RRR                                                            | ♥ ★★★★ very videogames throughout, ★★★★★ for bheem half ★★★ for rama raju half
 x | film  | 2023 | Ant-Man and the Wasp: Quantumania                              | ♥ ★★ who would win 1 killdozer or 1000 bugdozers, trick question only the bugdozers can defeat the police
_x | anime | 2017 | BLAME!                                                         | ♥ ★★★★ bzhew
_x | film  | 2016 | Rogue One: A Star Wars Story                                   | --
_x | film  | 2018 | Devilman Crybaby                                               | ♥ ★★★★★
_x | film  | 2018 | Prospect                                                       | ♥ ★★★★ Really good equipment designs, everyone has a different spacesuit.
_x | film  | 2018 | The Ballad of Buster Scruggs                                   | ♥ ★★★★★
_x | film  | 2019 | Knives Out                                                     | ♥
xx | anime | 1977 | The Hobbit                                                     | --
xx | anime | 1981 | Mobile Suit Gundam I                                           | ♥
xx | anime | 1981 | Son of the White Mare                                          | ♥ ★★★★★ waugh
xx | anime | 1984 | Nausicaä of the Valley of the Wind                             | ♥
xx | anime | 1985 | The Black Cauldron                                             | ♥ ★★★★ Perfectly haphazard. Could use more animals. Skeletor has a pleasant day. https://www.youtube.com/watch?v=FyyTzkktjsI
xx | anime | 1988 | Akira                                                          | ♥
xx | anime | 1989 | Patlabor: The Movie                                            | ♥
xx | anime | 1993 | Patlabor 2: The Movie                                          | ♥
xx | anime | 1994 | The Pagemaster                                                 | ♥
xx | anime | 1995 | Ghost in the Shell                                             | ♥ ★★★★★ a bold vision of a world where cops read books
xx | anime | 1995 | Memories                                                       | ♥ ★★★★★
xx | anime | 1997 | Princess Mononoke                                              | ♥
xx | anime | 1998 | Cowboy Bebop                                                   | ♥
xx | anime | 1998 | Kirikou and the Sorceress                                      | ♥
xx | anime | 1998 | Serial Experiments Lain                                        | --
xx | anime | 1999 | Jin-Roh: The Wolf Brigade                                      | ♥
xx | anime | 2000 | FLCL                                                           | ♥
xx | anime | 2001 | Cowboy Bebop: The Movie                                        | --
xx | anime | 2001 | Final Fantasy: The Spirits Within                              | --
xx | anime | 2001 | Metropolis                                                     | ★★★ mostly just looks expensive
xx | anime | 2001 | Spirited Away                                                  | --
xx | anime | 2002 | The Cat Returns                                                | ♥
xx | anime | 2003 | The Animatrix                                                  | ♥
xx | anime | 2003 | The Triplets of Belleville                                     | ♥
xx | anime | 2004 | Paranoia Agent                                                 | ♥
xx | anime | 2004 | Samurai Champloo                                               | ♥
xx | anime | 2006 | A Scanner Darkly                                               | ♥ ★★★★★ Look at the person to your left, and now to your right. Both of these people are the police. You are the police.
xx | anime | 2006 | Paprika                                                        | ♥
xx | anime | 2007 | Vexille                                                        | ★★ not very interesting
xx | anime | 2008 | WALL·E                                                         | ♥
xx | anime | 2021 | Mad God                                                        | ♥ ★★★★★ tag urself i'm [is obliterated]
xx | film  | 1950 | Harvey                                                         | ♥ ★★★ high bar for mental illness
xx | film  | 1950 | Rashomon                                                       | ♥
xx | film  | 1954 | Brigadoon                                                      | ♥ ★★★ harry beaton
xx | film  | 1954 | Godzilla                                                       | --
xx | film  | 1954 | Rear Window                                                    | ♥ ★★★★ Really good flashbulb effect.
xx | film  | 1956 | Forbidden Planet                                               | ♥
xx | film  | 1957 | Mayabazar                                                      | --
xx | film  | 1957 | Throne of Blood                                                | --
xx | film  | 1958 | The Hidden Fortress                                            | --
xx | film  | 1960 | Swiss Family Robinson                                          | --
xx | film  | 1963 | The Sword in the Stone                                         | ♥
xx | film  | 1964 | Red Desert                                                     | ♥ ★★★ a two-hour migraine but in a good way
xx | film  | 1979 | Alien                                                          | ♥
xx | film  | 1979 | Stalker                                                        | ♥
xx | film  | 1979 | The Black Hole                                                 | ★★ This sucks even though they go to the hell dimension.
xx | film  | 1981 | Escape from New York                                           | --
xx | film  | 1981 | Excalibur                                                      | ♥ ★★★★ to kill a fully armored knight you just have to clang your sword on the outside of his armor a few times
xx | film  | 1981 | Outland                                                        | ♥ ★★★★
xx | film  | 1981 | Time Bandits                                                   | ♥
xx | film  | 1984 | 2010: The Year We Make Contact                                 | ♥
xx | film  | 1984 | Dune                                                           | --
xx | film  | 1985 | Brazil                                                         | ♥
xx | film  | 1985 | Lifeforce                                                      | ♥ ★★★★ really funny
xx | film  | 1986 | Aliens                                                         | ♥
xx | film  | 1989 | DeepStar Six                                                   | ♥ ★★★★ I love high-stakes tech support.
xx | film  | 1989 | Tetsuo: The Iron Man                                           | --
xx | film  | 1989 | The Abyss                                                      | ★★ This isn't good, sorry. Somebody chickened out on killing the crew so they peer over the two main characters' shoulders while they do everything in the last half of the movie. Not even saying "buggo!" whenever something buggo happened could salvage my experience.
xx | film  | 1989 | The Blood of Heroes                                            | ♥ ★★★ Everyone is very earnest and the underground city is cool. Needs a remaster.
xx | film  | 1990 | Jacob's Ladder                                                 | ♥ ★★★★★ Heavy! Reconsider if you have back problems.
xx | film  | 1990 | Total Recall                                                   | ♥
xx | film  | 1990 | Tremors                                                        | --
xx | film  | 1992 | The Lawnmower Man                                              | ♥ ★★★★ ahead of its time
xx | film  | 1994 | In the Mouth of Madness                                        | ♥ ★★★ scooby doo isn't in this but he should be
xx | film  | 1994 | Stargate                                                       | ♥
xx | film  | 1994 | Street Fighter                                                 | ♥
xx | film  | 1994 | Timecop                                                        | --
xx | film  | 1995 | 12 Monkeys                                                     | ♥
xx | film  | 1995 | A Kid in King Arthur's Court                                   | ♥
xx | film  | 1995 | Batman Forever                                                 | ♥ ★★★★★ eyes wide shut 2
xx | film  | 1995 | Four Rooms                                                     | ♥
xx | film  | 1995 | Species                                                        | ♥ ★★ [giving off negative vibes to harm nearby empaths]
xx | film  | 1995 | Tales from the Crypt: Demon Knight                             | ♥
xx | film  | 1995 | The City of Lost Children                                      | ♥ ★★★ The plot moves like sludge, looks nice though.
xx | film  | 1995 | To Wong Foo, Thanks for Everything! Julie Newmar               | --
xx | film  | 1995 | Village of the Damned                                          | --
xx | film  | 1995 | Waterworld                                                     | ♥ ★★★★ I could do everything Kevin Costner does in this movie, it looks easy to me. Oh nvm I forgot he had gills in this lmao
xx | film  | 1996 | The Birdcage                                                   | ♥
xx | film  | 1997 | Batman & Robin                                                 | ♥ ★★★★ if you give this a low rating you are bad at laser tag
xx | film  | 1997 | Contact                                                        | ♥
xx | film  | 1997 | Event Horizon                                                  | ♥ ★★★★★ Incomprehensible. Blood fungus space castle.
xx | film  | 1997 | Men in Black                                                   | ♥
xx | film  | 1997 | MouseHunt                                                      | ♥ ★★★★★ Watch a mouse run around! The perfect movie.
xx | film  | 1997 | The Jackal                                                     | --
xx | film  | 1998 | Blade                                                          | ♥ ★★★★ better than The Matrix
xx | film  | 1998 | Dark City                                                      | ♥ ★★★★★
xx | film  | 1998 | Fear and Loathing in Las Vegas                                 | --
xx | film  | 1998 | Godzilla                                                       | ♥ ★★★★★ the best part of this movie is when they say "we're gonna have to evacuate all of manhattan" and make a big deal about it but the next scene is "ok we evacuated manhattan"
xx | film  | 1998 | Lost in Space                                                  | --
xx | film  | 1998 | Mercury Rising                                                 | ★
xx | film  | 1998 | Sphere                                                         | ♥ ★★★★★
xx | film  | 1999 | Eyes Wide Shut                                                 | --
xx | film  | 1999 | The 13th Warrior                                               | ♥ ★★★ guys being dudes
xx | film  | 1999 | The Matrix                                                     | --
xx | film  | 1999 | The Mummy                                                      | ♥
xx | film  | 1999 | The Thirteenth Floor                                           | ♥ ★★★★★ Really good. I don't know what the floor number had to do with it, I must've missed that part.
xx | film  | 1999 | Virus                                                          | --
xx | film  | 2000 | Battlefield Earth                                              | ★★ last of the mohicans vs invader zim
xx | film  | 2000 | Mission to Mars                                                | ♥ ★★ I love sinister geology. Pretty listless otherwise.
xx | film  | 2000 | Pitch Black                                                    | ♥ ★★★★★
xx | film  | 2000 | Red Planet                                                     | ♥
xx | film  | 2000 | The 6th Day                                                    | ♥ ★★ The best part of this movie is the cloned goon who always has phantom pain from however he died last.
xx | film  | 2000 | The Cell                                                       | ♥
xx | film  | 2001 | Avalon                                                         | ♥
xx | film  | 2001 | Dagon                                                          | ♥ ★★★ Oh! The town is named Imboca because it's spanish Innsmouth. I'm going to puke.
xx | film  | 2001 | The One                                                        | ♥
xx | film  | 2001 | Thir13en Ghosts                                                | ★★ bizarre
xx | film  | 2001 | Tremors 3: Back to Perfection                                  | --
xx | film  | 2002 | 28 Days Later                                                  | ♥ ★★★★★ personally i would have escaped the jeep the moment they mentioned gender
xx | film  | 2002 | Blade II                                                       | ♥ ★★★★ double vampire lol
xx | film  | 2002 | Dog Soldiers                                                   | ♥ ★★★ cheesy
xx | film  | 2002 | Hero                                                           | ♥ ★★★ A colorful documentary about history's very first centrist.
xx | film  | 2002 | Men in Black II                                                | --
xx | film  | 2002 | Minority Report                                                | ♥
xx | film  | 2002 | Resident Evil                                                  | --
xx | film  | 2002 | Road to Perdition                                              | ♥
xx | film  | 2002 | The Bourne Identity                                            | --
xx | film  | 2003 | Cradle 2 the Grave                                             | ♥
xx | film  | 2003 | Ong-Bak                                                        | ♥
xx | film  | 2003 | The Bone Snatcher                                              | ★ I watched this hoping the monster would have some good unsettling motion, but it didn't even have that. Not good.
xx | film  | 2003 | The League of Extraordinary Gentlemen                          | ♥ ★★★ Better than Van Helsing.
xx | film  | 2003 | The Matrix Reloaded                                            | --
xx | film  | 2003 | The Matrix Revolutions                                         | --
xx | film  | 2004 | Dawn of the Dead                                               | --
xx | film  | 2004 | Immortal                                                       | ★★ the last thing you want to hear when you're in a stranger's car is "who here can die a violent death?"
xx | film  | 2004 | Kung Fu Hustle                                                 | ♥
xx | film  | 2004 | Resident Evil: Apocalypse                                      | --
xx | film  | 2004 | The Bourne Supremacy                                           | --
xx | film  | 2004 | The Chronicles of Riddick                                      | --
xx | film  | 2005 | Æon Flux                                                       | ♥
xx | film  | 2005 | The Cave                                                       | ♥ ★★★ spelunkny
xx | film  | 2005 | The Protector                                                  | ♥
xx | film  | 2006 | The Fall                                                       | ♥ ★★★★★ this movie is sadder than The Grinch but not as sad as The Shawshank Redemption
xx | film  | 2006 | The Fountain                                                   | ♥ ★★★★ Not as stressful as it looks.
xx | film  | 2007 | 28 Weeks Later                                                 | ♥ ★★★ stop trusting the army! too grounded to enjoy as much as the first
xx | film  | 2007 | Eden Log                                                       | --
xx | film  | 2007 | I Am Legend                                                    | --
xx | film  | 2007 | Resident Evil: Extinction                                      | --
xx | film  | 2007 | Sleuth                                                         | ♥
xx | film  | 2007 | Sunshine                                                       | ♥
xx | film  | 2007 | The Bourne Ultimatum                                           | --
xx | film  | 2008 | Dante 01                                                       | ♥ ★★★ every group chat is like this
xx | film  | 2008 | JCVD                                                           | ♥ ★★★★ 🇺🇦 📀 blockbuster exclusive 🇺🇦
xx | film  | 2009 | Pandorum                                                       | ♥ ★★★★ Really wacky editing. Above-average buggo behavior.
xx | film  | 2009 | Tetsuo: The Bullet Man                                         | ♥ ★★★★ It's good actually.
xx | film  | 2010 | Beyond the Black Rainbow                                       | ★★ still really bored 20 minutes in; voted to watch le château ambulant instead. i'll finish it later
xx | film  | 2011 | Attack the Block                                               | ♥
xx | film  | 2012 | Prometheus                                                     | ♥
xx | film  | 2013 | Europa Report                                                  | ♥ ★★★★★
xx | film  | 2013 | Gravity                                                        | ♥
xx | film  | 2013 | Oblivion                                                       | ♥
xx | film  | 2013 | Under the Skin                                                 | ♥ ★★★★★ really good
xx | film  | 2013 | Upstream Color                                                 | ♥
xx | film  | 2014 | Digging Up the Marrow                                          | ♥ ★★★ This was fun.
xx | film  | 2014 | Garm Wars: The Last Druid                                      | ♥ ★★★★ bloom and maximalism are more important than craft, imo
xx | film  | 2014 | Godzilla                                                       | ♥
xx | film  | 2014 | Interstellar                                                   | ♥
xx | film  | 2014 | Over the Garden Wall                                           | ♥
xx | film  | 2014 | Song of the Sea                                                | ♥
xx | film  | 2015 | The Hateful Eight                                              | ♥
xx | film  | 2015 | World of Tomorrow                                              | ♥
xx | film  | 2016 | Arrival                                                        | --
xx | film  | 2016 | Kedi                                                           | ♥ ★★★★★
xx | film  | 2016 | Shin Godzilla                                                  | ♥ ★★★★★ Very realistic!
xx | film  | 2017 | Alien: Covenant                                                | ♥
xx | film  | 2017 | Blue Planet II                                                 | ♥
xx | film  | 2017 | Cold Skin                                                      | ♥ ★★★ Not much happens in this. Nice landscapes.
xx | film  | 2017 | The Mummy                                                      | ♥ ★★★
xx | film  | 2018 | Annihilation                                                   | ♥ ★★★★★
xx | film  | 2018 | The Meg                                                        | ♥ ★★★★ Really nice underwater landscapes and then the cast takes turns falling off a boat. Unkind to whales.
xx | film  | 2019 | Ad Astra                                                       | ♥ ★★★ Brad Pitt dissociates in space but he doesn't get much out of it. Laconic.
xx | film  | 2019 | The Lighthouse                                                 | ♥ ★★★★★ really good movie about how to curse someone out in sailor times. unkind to seagulls
xx | film  | 2020 | Underwater                                                     | ♥ ★★ subnautcia
