 _ | film  | 1979 | The Warriors                                                   | --
 x | anime | 2016 | Moana                                                          | ♥
 x | anime | 2017 | Lu Over the Wall                                               | ♥ ★★★ In this universe there is a distinction between fish and mer-fish so that's weird. Good blobby shapes.
 x | anime | 2017 | World of Tomorrow 2: The Burden of Other People's Thoughts     | --
 x | anime | 2018 | Bao                                                            | --
 x | anime | 2018 | Dry Run                                                        | --
 x | anime | 2018 | Spider-Man: Into the Spider-Verse                              | ♥
 x | anime | 2019 | Invader Zim: Enter the Florpus                                 | --
 x | anime | 2019 | Love, Death & Robots: Alternate Histories                      | --
 x | anime | 2019 | Love, Death & Robots: Beyond the Aquila Rift                   | ♥
 x | anime | 2019 | Love, Death & Robots: Blindspot                                | --
 x | anime | 2019 | Love, Death & Robots: Fish Night                               | ♥
 x | anime | 2019 | Love, Death & Robots: Good Hunting                             | --
 x | anime | 2019 | Love, Death & Robots: Helping Hand                             | --
 x | anime | 2019 | Love, Death & Robots: Ice Age                                  | ♥
 x | anime | 2019 | Love, Death & Robots: Lucky 13                                 | --
 x | anime | 2019 | Love, Death & Robots: Shape-Shifters                           | --
 x | anime | 2019 | Love, Death & Robots: Sonnie's Edge                            | ♥
 x | anime | 2019 | Love, Death & Robots: Suits                                    | ♥
 x | anime | 2019 | Love, Death & Robots: The Secret War                           | --
 x | anime | 2019 | Love, Death & Robots: The Witness                              | ♥
 x | anime | 2019 | Love, Death & Robots: Three Robots                             | ♥
 x | anime | 2019 | Love, Death & Robots: When the Yogurt Took Over                | --
 x | anime | 2019 | Love, Death & Robots: Zima Blue                                | ♥
 x | film  | 1915 | The Birth of a Nation                                          | --
 x | film  | 1920 | The Cabinet of Dr. Caligari                                    | --
 x | film  | 1922 | Nosferatu                                                      | --
 x | film  | 1927 | Metropolis                                                     | --
 x | film  | 1931 | Frankenstein                                                   | --
 x | film  | 1931 | M                                                              | ♥
 x | film  | 1932 | The Mummy                                                      | --
 x | film  | 1932 | White Zombie                                                   | --
 x | film  | 1935 | Triumph of the Will                                            | --
 x | film  | 1936 | Swing Time                                                     | --
 x | film  | 1938 | Alexander Nevsky                                               | --
 x | film  | 1939 | The Wizard of Oz                                               | --
 x | film  | 1946 | Song of the South                                              | --
 x | film  | 1947 | Black Narcissus                                                | --
 x | film  | 1951 | The Day the Earth Stood Still                                  | --
 x | film  | 1952 | Ikiru                                                          | --
 x | film  | 1953 | The War of the Worlds                                          | --
 x | film  | 1954 | 20,000 Leagues Under the Sea                                   | --
 x | film  | 1954 | Gog                                                            | ♥ ★★★
 x | film  | 1954 | Sansho the Bailiff                                             | --
 x | film  | 1954 | Seven Samurai                                                  | --
 x | film  | 1957 | The Bridge on the River Kwai                                   | --
 x | film  | 1958 | Dracula                                                        | --
 x | film  | 1959 | North by Northwest                                             | --
 x | film  | 1960 | Psycho                                                         | --
 x | film  | 1961 | Yojimbo                                                        | --
 x | film  | 1962 | Dr. No                                                         | --
 x | film  | 1962 | King Kong vs. Godzilla                                         | --
 x | film  | 1962 | Sanjuro                                                        | --
 x | film  | 1962 | The Man Who Shot Liberty Valance                               | --
 x | film  | 1963 | The Pink Panther                                               | --
 x | film  | 1964 | A Fistful of Dollars                                           | --
 x | film  | 1964 | A Hard Day's Night                                             | --
 x | film  | 1964 | Dr. Strangelove                                                | --
 x | film  | 1964 | Mary Poppins                                                   | --
 x | film  | 1964 | Mothra vs. Godzilla                                            | --
 x | film  | 1965 | For a Few Dollars More                                         | --
 x | film  | 1965 | The Sound of Music                                             | --
 x | film  | 1966 | Andrei Rublev                                                  | --
 x | film  | 1966 | Batman                                                         | --
 x | film  | 1966 | Daimajin                                                       | ♥ ★★★★ slow burn
